tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3002,1016,202,10156,CD,0,D2_pwm125_grab1
3008,-898,-622,10094,CD,0,D2_pwm125_grab1
3013,-1602,-1810,10832,CD,0,D2_pwm125_grab1
3017,2110,-520,11470,CD,0,D2_pwm125_grab1
3023,1104,414,10786,CD,0,D2_pwm125_grab1
3028,1892,-418,10890,CD,0,D2_pwm125_grab1
3032,16,-78,8516,CD,0,D2_pwm125_grab1
3037,-642,-626,10044,CD,0,D2_pwm125_grab1
3042,266,-620,9544,CD,0,D2_pwm125_grab1
3048,-8,178,10870,CD,0,D2_pwm125_grab1
3052,3242,468,10906,CD,0,D2_pwm125_grab1
3057,688,764,9822,CD,0,D2_pwm125_grab1
3063,-80,-1666,7952,CD,0,D2_pwm125_grab1
3068,1028,988,9822,CD,0,D2_pwm125_grab1
3077,2116,12,11578,CD,0,D2_pwm125_grab1
3083,1424,1278,11176,CD,0,D2_pwm125_grab1
3087,746,-502,9906,CD,0,D2_pwm125_grab1
3092,2116,12,9616,CD,0,D2_pwm125_grab1
3097,-1214,-1670,8078,CD,0,D2_pwm125_grab1
3103,1050,-244,10770,CD,0,D2_pwm125_grab1
3107,-768,-1076,10062,CD,0,D2_pwm125_grab1
3112,-454,-962,9820,CD,0,D2_pwm125_grab1
3117,1744,1402,10164,CD,0,D2_pwm125_grab1
3122,-1906,-788,8610,CD,0,D2_pwm125_grab1
3127,866,78,9434,CD,0,D2_pwm125_grab1
3132,-1014,-358,9902,CD,0,D2_pwm125_grab1
3138,82,-616,11342,CD,0,D2_pwm125_grab1
3143,1578,-140,10716,CD,0,D2_pwm125_grab1
3147,1268,-204,9574,CD,0,D2_pwm125_grab1
3153,1652,684,10994,CD,0,D2_pwm125_grab1
3159,326,-8,8614,CD,0,D2_pwm125_grab1
3163,-1156,-470,9822,CD,0,D2_pwm125_grab1
3168,500,-614,9106,CD,0,D2_pwm125_grab1
3173,-40,316,10922,CD,0,D2_pwm125_grab1
3179,3204,722,10882,CD,0,D2_pwm125_grab1
3183,592,890,10182,CD,0,D2_pwm125_grab1
3188,66,-1640,8072,CD,0,D2_pwm125_grab1
3193,1152,1004,9874,CD,0,D2_pwm125_grab1
3198,-2542,-1162,8924,CD,0,D2_pwm125_grab1
3203,1648,-142,11938,CD,0,D2_pwm125_grab1
3208,1538,954,11636,CD,0,D2_pwm125_grab1
3214,566,-484,9910,CD,0,D2_pwm125_grab1
3218,2234,-146,9534,CD,0,D2_pwm125_grab1
3223,-1012,-1516,8384,CD,0,D2_pwm125_grab1
3229,1304,-374,10484,CD,0,D2_pwm125_grab1
3233,-950,-1134,9886,CD,0,D2_pwm125_grab1
3238,-558,-794,9824,CD,0,D2_pwm125_grab1
3249,-2076,-1224,8960,CD,0,D2_pwm125_grab1
3254,698,186,9720,CD,0,D2_pwm125_grab1
3258,-914,-336,9892,CD,0,D2_pwm125_grab1
3263,-44,-544,11646,CD,0,D2_pwm125_grab1
3269,1610,-194,10838,CD,0,D2_pwm125_grab1
3273,1416,-110,9568,CD,0,D2_pwm125_grab1
3278,1334,754,10460,CD,0,D2_pwm125_grab1
3284,76,-70,8654,CD,0,D2_pwm125_grab1
3289,-1002,-502,9788,CD,0,D2_pwm125_grab1
3293,-332,-374,11038,CD,0,D2_pwm125_grab1
3299,-38,-624,10646,CD,0,D2_pwm125_grab1
3303,3984,282,9890,CD,0,D2_pwm125_grab1
3308,-504,-118,8876,CD,0,D2_pwm125_grab1
3314,-616,-1282,9952,CD,0,D2_pwm125_grab1
3319,-1362,-1106,10380,CD,0,D2_pwm125_grab1
3323,-3978,-1432,10592,CD,0,D2_pwm125_grab1
3328,1874,28,11516,CD,0,D2_pwm125_grab1
3333,694,584,10444,CD,0,D2_pwm125_grab1
3339,1208,256,10498,CD,0,D2_pwm125_grab1
3343,-970,-608,10244,CD,0,D2_pwm125_grab1
3348,-1368,-2164,10148,CD,0,D2_pwm125_grab1
3353,1740,-380,11446,CD,0,D2_pwm125_grab1
3358,1284,508,10838,CD,0,D2_pwm125_grab1
3364,1784,-436,11202,CD,0,D2_pwm125_grab1
3373,-1326,-512,8762,CD,0,D2_pwm125_grab1
3378,296,-836,9832,CD,0,D2_pwm125_grab1
3384,88,130,10666,CD,0,D2_pwm125_grab1
3389,4032,754,10904,CD,0,D2_pwm125_grab1
3393,464,1002,10046,CD,0,D2_pwm125_grab1
3403,542,458,10082,CD,0,D2_pwm125_grab1
3414,-156,-582,10258,CD,0,D2_pwm125_grab1
3419,390,14,11458,CD,0,D2_pwm125_grab1
3424,-104,-574,10516,CD,0,D2_pwm125_grab1
3430,3770,38,9264,CD,0,D2_pwm125_grab1
3435,-920,-440,8814,CD,0,D2_pwm125_grab1
3439,-414,-978,10126,CD,0,D2_pwm125_grab1
3445,-1828,-1584,10360,CD,0,D2_pwm125_grab1
3449,-3848,-1580,9686,CD,0,D2_pwm125_grab1
3454,1084,-788,11782,CD,0,D2_pwm125_grab1
3460,-652,90,10026,CD,0,D2_pwm125_grab1
3465,1126,346,10180,CD,0,D2_pwm125_grab1
3469,-1120,-598,10486,CD,0,D2_pwm125_grab1
3474,-1082,-1600,11078,CD,0,D2_pwm125_grab1
3480,1922,-562,10986,CD,0,D2_pwm125_grab1
3484,1256,376,10554,CD,0,D2_pwm125_grab1
3489,1304,-674,10420,CD,0,D2_pwm125_grab1
3494,2324,1934,10612,CD,0,D2_pwm125_grab1
3499,-1368,-498,9160,CD,0,D2_pwm125_grab1
3504,-610,-828,10228,CD,0,D2_pwm125_grab1
3510,178,-256,10430,CD,0,D2_pwm125_grab1
3515,4280,526,10632,CD,0,D2_pwm125_grab1
3519,356,726,9562,CD,0,D2_pwm125_grab1
3524,-316,-1796,8684,CD,0,D2_pwm125_grab1
3529,1554,1168,10148,CD,0,D2_pwm125_grab1
3534,-1590,-1006,8234,CD,0,D2_pwm125_grab1
3539,24,-654,10624,CD,0,D2_pwm125_grab1
3545,1714,1378,10994,CD,0,D2_pwm125_grab1
3550,1096,-188,10348,CD,0,D2_pwm125_grab1
3554,-674,-476,9638,CD,0,D2_pwm125_grab1
3559,-1542,-2464,9176,CD,0,D2_pwm125_grab1
3564,1910,-62,11646,CD,0,D2_pwm125_grab1
3570,-1476,-1490,10026,CD,0,D2_pwm125_grab1
3574,-2134,-756,9564,CD,0,D2_pwm125_grab1
3580,2340,1074,11144,CD,0,D2_pwm125_grab1
3585,-1876,-1130,8322,CD,0,D2_pwm125_grab1
3589,368,-336,8838,CD,0,D2_pwm125_grab1
3594,200,254,10796,CD,0,D2_pwm125_grab1
3599,2498,870,11092,CD,0,D2_pwm125_grab1
3604,560,698,10146,CD,0,D2_pwm125_grab1
3610,1266,334,10128,CD,0,D2_pwm125_grab1
3615,1914,154,11082,CD,0,D2_pwm125_grab1
3619,494,486,9276,CD,0,D2_pwm125_grab1
3624,-1146,-630,9358,CD,0,D2_pwm125_grab1
3629,1394,674,11612,CD,0,D2_pwm125_grab1
3634,280,-510,10016,CD,0,D2_pwm125_grab1
3639,2826,-214,9526,CD,0,D2_pwm125_grab1
3644,-1024,-1184,8388,CD,0,D2_pwm125_grab1
3649,822,-408,10366,CD,0,D2_pwm125_grab1
3654,-988,-642,10476,CD,0,D2_pwm125_grab1
3659,-4196,-1748,10152,CD,0,D2_pwm125_grab1
3664,1634,-432,11670,CD,0,D2_pwm125_grab1
3671,1702,1232,11008,CD,0,D2_pwm125_grab1
3676,1234,24,10446,CD,0,D2_pwm125_grab1
3681,-762,-464,9752,CD,0,D2_pwm125_grab1
3685,-1426,-2482,9472,CD,0,D2_pwm125_grab1
3691,878,-312,10848,CD,0,D2_pwm125_grab1
3695,-1026,-1226,9824,CD,0,D2_pwm125_grab1
3700,-610,-728,9824,CD,0,D2_pwm125_grab1
3706,2234,1408,10924,CD,0,D2_pwm125_grab1
3710,-1638,-698,9080,CD,0,D2_pwm125_grab1
3715,474,-394,9320,CD,0,D2_pwm125_grab1
3721,270,258,10742,CD,0,D2_pwm125_grab1
3726,3156,1052,11278,CD,0,D2_pwm125_grab1
3730,766,842,10106,CD,0,D2_pwm125_grab1
3735,1158,26,9588,CD,0,D2_pwm125_grab1
3740,1326,464,10612,CD,0,D2_pwm125_grab1
3745,-82,188,8796,CD,0,D2_pwm125_grab1
3751,-424,-520,9930,CD,0,D2_pwm125_grab1
3755,1468,858,11518,CD,0,D2_pwm125_grab1
3761,612,-468,9858,CD,0,D2_pwm125_grab1
3766,1750,-388,9594,CD,0,D2_pwm125_grab1
3770,-1198,-1668,8356,CD,0,D2_pwm125_grab1
3776,-786,-1596,9894,CD,0,D2_pwm125_grab1
3780,-1410,-1010,10752,CD,0,D2_pwm125_grab1
3791,1930,-256,11514,CD,0,D2_pwm125_grab1
3796,726,684,10842,CD,0,D2_pwm125_grab1
3800,726,68,9572,CD,0,D2_pwm125_grab1
3805,-592,-166,10154,CD,0,D2_pwm125_grab1
3810,186,-316,11378,CD,0,D2_pwm125_grab1
3816,2108,-446,11150,CD,0,D2_pwm125_grab1
3821,1258,370,10788,CD,0,D2_pwm125_grab1
3825,1800,-226,11162,CD,0,D2_pwm125_grab1
3830,1866,1506,10066,CD,0,D2_pwm125_grab1
3835,-1778,-952,8660,CD,0,D2_pwm125_grab1
3840,-66,-266,11132,CD,0,D2_pwm125_grab1
3846,-138,-522,10746,CD,0,D2_pwm125_grab1
3851,4130,362,9508,CD,0,D2_pwm125_grab1
3855,696,856,9802,CD,0,D2_pwm125_grab1
3860,-338,-1730,7888,CD,0,D2_pwm125_grab1
3865,734,626,9978,CD,0,D2_pwm125_grab1
3871,-3470,-1766,9314,CD,0,D2_pwm125_grab1
3876,852,-796,11560,CD,0,D2_pwm125_grab1
3880,1652,1302,10928,CD,0,D2_pwm125_grab1
3885,1198,208,10232,CD,0,D2_pwm125_grab1
3891,-1126,-642,10648,CD,0,D2_pwm125_grab1
3895,-1318,-2150,8276,CD,0,D2_pwm125_grab1
3900,1586,180,11346,CD,0,D2_pwm125_grab1
3905,-38,-600,10038,CD,0,D2_pwm125_grab1
3910,1204,-550,10298,CD,0,D2_pwm125_grab1
3915,2454,1894,10758,CD,0,D2_pwm125_grab1
3920,-2038,-984,8542,CD,0,D2_pwm125_grab1
3926,758,28,8996,CD,0,D2_pwm125_grab1
3931,238,2,10376,CD,0,D2_pwm125_grab1
3936,-1312,-2090,10758,CD,0,D2_pwm125_grab1
3941,1720,-544,11472,CD,0,D2_pwm125_grab1
3946,1446,554,10634,CD,0,D2_pwm125_grab1
3951,1960,-230,11366,CD,0,D2_pwm125_grab1
3956,1230,1248,9952,CD,0,D2_pwm125_grab1
3961,-1326,-722,8794,CD,0,D2_pwm125_grab1
3968,-432,-812,10068,CD,0,D2_pwm125_grab1
3972,-144,-518,10452,CD,0,D2_pwm125_grab1
3977,4300,878,10692,CD,0,D2_pwm125_grab1
3982,-88,864,9630,CD,0,D2_pwm125_grab1
3987,-450,-1930,8540,CD,0,D2_pwm125_grab1
3992,-10,178,10238,CD,0,D2_pwm125_grab1
4001,1350,-774,11620,CD,0,D2_pwm125_grab1
4007,2130,1462,10892,CD,0,D2_pwm125_grab1
4011,1134,208,10076,CD,0,D2_pwm125_grab1
4017,-452,-554,9520,CD,0,D2_pwm125_grab1
4026,2012,130,11336,CD,0,D2_pwm125_grab1
4031,498,-204,10344,CD,0,D2_pwm125_grab1
4036,1408,-290,10824,CD,0,D2_pwm125_grab1
4046,-2102,-1140,8422,CD,0,D2_pwm125_grab1
4051,548,-92,8880,CD,0,D2_pwm125_grab1
4057,492,52,10384,CD,0,D2_pwm125_grab1
4061,2222,944,11532,CD,0,D2_pwm125_grab1
4067,1068,544,10132,CD,0,D2_pwm125_grab1
4072,276,-1042,8420,CD,0,D2_pwm125_grab1
4076,1518,1058,9930,CD,0,D2_pwm125_grab1
4081,-1790,-1234,8306,CD,0,D2_pwm125_grab1
4086,-180,-574,10788,CD,0,D2_pwm125_grab1
4091,1270,328,11838,CD,0,D2_pwm125_grab1
4096,132,-556,10004,CD,0,D2_pwm125_grab1
4101,2858,-302,9540,CD,0,D2_pwm125_grab1
4107,-868,-1102,8460,CD,0,D2_pwm125_grab1
4112,686,-480,10552,CD,0,D2_pwm125_grab1
4117,-1272,-1366,9860,CD,0,D2_pwm125_grab1
4121,-1426,-632,9732,CD,0,D2_pwm125_grab1
4127,2146,1054,11110,CD,0,D2_pwm125_grab1
4131,-1698,-638,9182,CD,0,D2_pwm125_grab1
4136,1120,88,10230,CD,0,D2_pwm125_grab1
4142,-1350,-334,10286,CD,0,D2_pwm125_grab1
4146,-446,-928,11326,CD,0,D2_pwm125_grab1
4151,1198,-482,11026,CD,0,D2_pwm125_grab1
4157,1180,266,9930,CD,0,D2_pwm125_grab1
4162,1550,162,10680,CD,0,D2_pwm125_grab1
4166,36,498,9044,CD,0,D2_pwm125_grab1
4171,-534,-386,9806,CD,0,D2_pwm125_grab1
4176,30,-378,9282,CD,0,D2_pwm125_grab1
4183,432,132,10614,CD,0,D2_pwm125_grab1
4187,2902,1266,11254,CD,0,D2_pwm125_grab1
4192,822,742,9944,CD,0,D2_pwm125_grab1
4198,-96,-1372,7730,CD,0,D2_pwm125_grab1
4203,1060,914,9800,CD,0,D2_pwm125_grab1
4207,-2912,-1614,9012,CD,0,D2_pwm125_grab1
4213,556,-792,11154,CD,0,D2_pwm125_grab1
4217,-628,-618,10676,CD,0,D2_pwm125_grab1
4224,52,-524,10456,CD,0,D2_pwm125_grab1
4227,1638,-442,9610,CD,0,D2_pwm125_grab1
4237,1248,72,11104,CD,0,D2_pwm125_grab1
4242,-498,-994,9834,CD,0,D2_pwm125_grab1
4248,590,-374,10296,CD,0,D2_pwm125_grab1
4252,2516,1602,10864,CD,0,D2_pwm125_grab1
4258,484,598,10598,CD,0,D2_pwm125_grab1
4262,1224,90,10338,CD,0,D2_pwm125_grab1
4267,-314,-114,10308,CD,0,D2_pwm125_grab1
4273,638,-76,11182,CD,0,D2_pwm125_grab1
4277,1030,-194,10316,CD,0,D2_pwm125_grab1
4282,1058,-230,9280,CD,0,D2_pwm125_grab1
4287,1170,564,10234,CD,0,D2_pwm125_grab1
4292,-622,-340,8326,CD,0,D2_pwm125_grab1
4297,-1584,-1082,8536,CD,0,D2_pwm125_grab1
4302,-90,-596,9832,CD,0,D2_pwm125_grab1
4307,220,128,10792,CD,0,D2_pwm125_grab1
4312,4092,104,9420,CD,0,D2_pwm125_grab1
4317,-638,130,9352,CD,0,D2_pwm125_grab1
4322,-504,-1364,9942,CD,0,D2_pwm125_grab1
4327,-1798,-1164,10562,CD,0,D2_pwm125_grab1
4332,-3260,-1176,10468,CD,0,D2_pwm125_grab1
4338,1154,-760,11384,CD,0,D2_pwm125_grab1
4342,2014,1180,10776,CD,0,D2_pwm125_grab1
4347,706,-338,10110,CD,0,D2_pwm125_grab1
4352,-1370,-622,10610,CD,0,D2_pwm125_grab1
4357,-1280,-2152,10864,CD,0,D2_pwm125_grab1
4363,1850,-524,11314,CD,0,D2_pwm125_grab1
4367,1426,440,10646,CD,0,D2_pwm125_grab1
4372,1886,-156,11250,CD,0,D2_pwm125_grab1
4377,1486,1300,9956,CD,0,D2_pwm125_grab1
4382,-2360,-1138,8534,CD,0,D2_pwm125_grab1
4388,724,94,9036,CD,0,D2_pwm125_grab1
4392,430,-136,10188,CD,0,D2_pwm125_grab1
4397,4372,1050,10742,CD,0,D2_pwm125_grab1
4403,14,920,9652,CD,0,D2_pwm125_grab1
4407,-308,-1892,8566,CD,0,D2_pwm125_grab1
4412,-14,150,10202,CD,0,D2_pwm125_grab1
4417,-4044,-1918,9630,CD,0,D2_pwm125_grab1
4422,-404,-430,10640,CD,0,D2_pwm125_grab1
4428,868,-36,11844,CD,0,D2_pwm125_grab1
4432,-84,-548,10306,CD,0,D2_pwm125_grab1
4438,3308,-274,9342,CD,0,D2_pwm125_grab1
4443,-706,-554,8852,CD,0,D2_pwm125_grab1
4448,276,-884,10346,CD,0,D2_pwm125_grab1
4453,-1602,-1340,10038,CD,0,D2_pwm125_grab1
4459,-2166,-926,9734,CD,0,D2_pwm125_grab1
4463,1240,-650,11684,CD,0,D2_pwm125_grab1
4468,1946,1252,11204,CD,0,D2_pwm125_grab1
4473,992,-138,10214,CD,0,D2_pwm125_grab1
4480,-814,-604,9602,CD,0,D2_pwm125_grab1
4483,-774,-1424,10996,CD,0,D2_pwm125_grab1
4489,1324,-510,11194,CD,0,D2_pwm125_grab1
4494,1180,344,10154,CD,0,D2_pwm125_grab1
4498,1954,-54,11352,CD,0,D2_pwm125_grab1
4503,2372,1992,10528,CD,0,D2_pwm125_grab1
4508,-2290,-1328,8462,CD,0,D2_pwm125_grab1
4513,162,-162,9094,CD,0,D2_pwm125_grab1
4518,538,74,10412,CD,0,D2_pwm125_grab1
4528,-476,938,9822,CD,0,D2_pwm125_grab1
4533,-720,-2054,9362,CD,0,D2_pwm125_grab1
4539,-892,-474,10764,CD,0,D2_pwm125_grab1
4544,-2424,-1364,8750,CD,0,D2_pwm125_grab1
4548,322,-628,10950,CD,0,D2_pwm125_grab1
4554,1304,622,11564,CD,0,D2_pwm125_grab1
4559,188,-528,10088,CD,0,D2_pwm125_grab1
4564,2370,-562,9576,CD,0,D2_pwm125_grab1
4573,2058,-20,11182,CD,0,D2_pwm125_grab1
4579,1090,52,10530,CD,0,D2_pwm125_grab1
4583,-402,-476,10094,CD,0,D2_pwm125_grab1
4588,2518,1172,10946,CD,0,D2_pwm125_grab1
4593,-1814,-756,9036,CD,0,D2_pwm125_grab1
4598,1006,112,9536,CD,0,D2_pwm125_grab1
4604,-702,-52,10382,CD,0,D2_pwm125_grab1
4608,3146,1470,11390,CD,0,D2_pwm125_grab1
4614,878,640,9954,CD,0,D2_pwm125_grab1
4624,1300,326,10348,CD,0,D2_pwm125_grab1
4628,-314,94,8614,CD,0,D2_pwm125_grab1
4633,-340,-348,10222,CD,0,D2_pwm125_grab1
4638,-436,-496,10830,CD,0,D2_pwm125_grab1
4643,-130,-514,10516,CD,0,D2_pwm125_grab1
4649,4362,430,9636,CD,0,D2_pwm125_grab1
4653,-1256,-1872,8300,CD,0,D2_pwm125_grab1
4659,1640,180,11202,CD,0,D2_pwm125_grab1
4664,-1668,-906,10748,CD,0,D2_pwm125_grab1
4668,-3312,-1380,10438,CD,0,D2_pwm125_grab1
4674,1400,-132,11580,CD,0,D2_pwm125_grab1
4678,262,326,10584,CD,0,D2_pwm125_grab1
4683,1160,106,10188,CD,0,D2_pwm125_grab1
4689,-1404,-498,10470,CD,0,D2_pwm125_grab1
4700,1818,-530,11404,CD,0,D2_pwm125_grab1
4704,30,-718,10132,CD,0,D2_pwm125_grab1
4709,1062,-152,10460,CD,0,D2_pwm125_grab1
4714,2542,1712,10726,CD,0,D2_pwm125_grab1
4720,-2478,-1036,8750,CD,0,D2_pwm125_grab1
4724,716,92,8914,CD,0,D2_pwm125_grab1
4730,302,-266,10204,CD,0,D2_pwm125_grab1
4734,1648,654,11772,CD,0,D2_pwm125_grab1
4739,112,948,9710,CD,0,D2_pwm125_grab1
4744,772,-760,8882,CD,0,D2_pwm125_grab1
4750,1714,820,9898,CD,0,D2_pwm125_grab1
4754,-1644,-826,8304,CD,0,D2_pwm125_grab1
4760,-412,-468,10710,CD,0,D2_pwm125_grab1
4765,626,32,11706,CD,0,D2_pwm125_grab1
4769,32,-472,10372,CD,0,D2_pwm125_grab1
4774,3162,-436,9472,CD,0,D2_pwm125_grab1
4780,-1186,-2748,8746,CD,0,D2_pwm125_grab1
4784,632,-780,10354,CD,0,D2_pwm125_grab1
4789,-1468,-1282,9944,CD,0,D2_pwm125_grab1
4795,-1674,-780,9690,CD,0,D2_pwm125_grab1
4799,1916,762,11224,CD,0,D2_pwm125_grab1
4805,-1440,-216,9394,CD,0,D2_pwm125_grab1
4810,1092,76,9974,CD,0,D2_pwm125_grab1
4815,-1202,-146,10532,CD,0,D2_pwm125_grab1
4819,-276,-1230,11160,CD,0,D2_pwm125_grab1
4825,1174,-656,10862,CD,0,D2_pwm125_grab1
4829,1226,242,10056,CD,0,D2_pwm125_grab1
4834,1480,148,10580,CD,0,D2_pwm125_grab1
4839,-18,730,9066,CD,0,D2_pwm125_grab1
4844,-398,-612,9730,CD,0,D2_pwm125_grab1
4849,-762,-752,10438,CD,0,D2_pwm125_grab1
4855,-2,-350,10624,CD,0,D2_pwm125_grab1
4859,4594,706,9914,CD,0,D2_pwm125_grab1
4864,-1022,-1536,8638,CD,0,D2_pwm125_grab1
4869,-746,-1768,9836,CD,0,D2_pwm125_grab1
4874,-1332,-710,10870,CD,0,D2_pwm125_grab1
4879,-3716,-1716,10302,CD,0,D2_pwm125_grab1
4884,1642,-264,11498,CD,0,D2_pwm125_grab1
4889,1192,1056,11084,CD,0,D2_pwm125_grab1
4895,1184,56,10146,CD,0,D2_pwm125_grab1
4899,-1216,-710,10312,CD,0,D2_pwm125_grab1
4910,2080,-304,11104,CD,0,D2_pwm125_grab1
4915,1340,120,10702,CD,0,D2_pwm125_grab1
4919,1544,6,11312,CD,0,D2_pwm125_grab1
4925,1972,1594,9950,CD,0,D2_pwm125_grab1
4929,-1782,-1036,8742,CD,0,D2_pwm125_grab1
4935,-264,-482,9988,CD,0,D2_pwm125_grab1
4940,548,-6,10254,CD,0,D2_pwm125_grab1
4944,4124,1600,11006,CD,0,D2_pwm125_grab1
4950,874,-310,10134,CD,0,D2_pwm125_grab1
4955,674,-340,9128,CD,0,D2_pwm125_grab1
4960,1620,654,10088,CD,0,D2_pwm125_grab1
4971,96,-424,10548,CD,0,D2_pwm125_grab1
4975,514,-204,11476,CD,0,D2_pwm125_grab1
4981,-120,-418,10474,CD,0,D2_pwm125_grab1
4985,3582,-212,9280,CD,0,D2_pwm125_grab1
4990,-230,970,9764,CD,0,D2_pwm125_grab1
4996,162,-1132,10048,CD,0,D2_pwm125_grab1
5000,-1772,-1272,10386,CD,0,D2_pwm125_grab1
5006,-2360,-984,9792,CD,0,D2_pwm125_grab1
5010,1892,358,11242,CD,0,D2_pwm125_grab1
5016,-1090,38,9954,CD,0,D2_pwm125_grab1
5021,1240,220,9998,CD,0,D2_pwm125_grab1
5025,-1430,-340,10434,CD,0,D2_pwm125_grab1
5036,1548,-714,10916,CD,0,D2_pwm125_grab1
5040,1414,324,10292,CD,0,D2_pwm125_grab1
5045,1952,104,11068,CD,0,D2_pwm125_grab1
5050,708,990,9316,CD,0,D2_pwm125_grab1
5055,-1070,-778,9398,CD,0,D2_pwm125_grab1
5060,-1004,-784,10286,CD,0,D2_pwm125_grab1
5065,178,-422,10506,CD,0,D2_pwm125_grab1
5071,2928,1486,11620,CD,0,D2_pwm125_grab1
5075,738,484,9996,CD,0,D2_pwm125_grab1
5081,-334,-1778,9408,CD,0,D2_pwm125_grab1
5085,-1112,-500,10712,CD,0,D2_pwm125_grab1
5090,-3736,-2180,10112,CD,0,D2_pwm125_grab1
5095,1474,-412,11592,CD,0,D2_pwm125_grab1
5101,1584,1184,10936,CD,0,D2_pwm125_grab1
5105,1068,18,10394,CD,0,D2_pwm125_grab1
5110,1222,-876,9506,CD,0,D2_pwm125_grab1
5115,-1212,-1516,8678,CD,0,D2_pwm125_grab1
5120,1844,80,11522,CD,0,D2_pwm125_grab1
5125,1448,76,10732,CD,0,D2_pwm125_grab1
5130,1492,-18,11306,CD,0,D2_pwm125_grab1
5135,1974,1694,10176,CD,0,D2_pwm125_grab1
5140,-1660,-1092,8560,CD,0,D2_pwm125_grab1
5145,176,-504,9872,CD,0,D2_pwm125_grab1
5150,10,8,10448,CD,0,D2_pwm125_grab1
5155,930,24,11448,CD,0,D2_pwm125_grab1
5160,762,-578,10316,CD,0,D2_pwm125_grab1
5166,-732,-1732,8166,CD,0,D2_pwm125_grab1
5170,306,236,10110,CD,0,D2_pwm125_grab1
5175,-3900,-2030,9182,CD,0,D2_pwm125_grab1
5180,1034,-530,11374,CD,0,D2_pwm125_grab1
5185,2058,1120,11094,CD,0,D2_pwm125_grab1
5190,-150,-458,10602,CD,0,D2_pwm125_grab1
5196,3476,-280,9368,CD,0,D2_pwm125_grab1
5200,-1186,-8,9156,CD,0,D2_pwm125_grab1
5207,352,-1076,10360,CD,0,D2_pwm125_grab1
5211,-1528,-1238,10312,CD,0,D2_pwm125_grab1
5217,-2228,-1040,9678,CD,0,D2_pwm125_grab1
5221,2086,306,11012,CD,0,D2_pwm125_grab1
5226,-878,26,9892,CD,0,D2_pwm125_grab1
5232,800,-214,10218,CD,0,D2_pwm125_grab1
5237,-952,-788,9682,CD,0,D2_pwm125_grab1
5246,1942,316,11700,CD,0,D2_pwm125_grab1
5251,1196,106,10188,CD,0,D2_pwm125_grab1
5257,1680,130,10944,CD,0,D2_pwm125_grab1
5261,588,874,8970,CD,0,D2_pwm125_grab1
5266,-946,-810,9682,CD,0,D2_pwm125_grab1
5271,410,-274,9208,CD,0,D2_pwm125_grab1
5276,404,66,10654,CD,0,D2_pwm125_grab1
5281,3300,1770,11232,CD,0,D2_pwm125_grab1
5286,204,448,9998,CD,0,D2_pwm125_grab1
5291,-358,-1958,9328,CD,0,D2_pwm125_grab1
5297,-1614,-628,10802,CD,0,D2_pwm125_grab1
5302,-3410,-1954,10172,CD,0,D2_pwm125_grab1
5306,1268,-184,11684,CD,0,D2_pwm125_grab1
5311,1942,810,11198,CD,0,D2_pwm125_grab1
5317,376,-314,10182,CD,0,D2_pwm125_grab1
5321,336,-1216,9330,CD,0,D2_pwm125_grab1
5326,-1282,-2082,8706,CD,0,D2_pwm125_grab1
5331,1884,252,11056,CD,0,D2_pwm125_grab1
5337,1614,216,10514,CD,0,D2_pwm125_grab1
5341,1866,182,11476,CD,0,D2_pwm125_grab1
5347,1574,1564,9954,CD,0,D2_pwm125_grab1
