tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3000,2684,902,8710,CD,0,D1_pwm175_grab1
3004,862,-2322,10082,CD,0,D1_pwm175_grab1
3009,-3512,1006,11178,CD,0,D1_pwm175_grab1
3014,-1468,1750,11388,CD,0,D1_pwm175_grab1
3020,846,-1682,11414,CD,0,D1_pwm175_grab1
3025,4262,-1976,7548,CD,0,D1_pwm175_grab1
3031,2690,800,7630,CD,0,D1_pwm175_grab1
3035,-592,-2638,11328,CD,0,D1_pwm175_grab1
3040,-3268,752,10536,CD,0,D1_pwm175_grab1
3045,-146,254,10702,CD,0,D1_pwm175_grab1
3050,-10516,-668,10370,CD,0,D1_pwm175_grab1
3056,4612,-1198,8856,CD,0,D1_pwm175_grab1
3060,2656,520,7384,CD,0,D1_pwm175_grab1
3065,-2650,-2952,12084,CD,0,D1_pwm175_grab1
3072,-2628,560,9804,CD,0,D1_pwm175_grab1
3076,-978,-824,9638,CD,0,D1_pwm175_grab1
3080,-3440,-126,11066,CD,0,D1_pwm175_grab1
3086,-5908,-2848,11364,CD,0,D1_pwm175_grab1
3091,1076,-2022,10434,CD,0,D1_pwm175_grab1
3096,9842,-592,10746,CD,0,D1_pwm175_grab1
3101,-2778,1932,11396,CD,0,D1_pwm175_grab1
3105,-192,-526,9620,CD,0,D1_pwm175_grab1
3110,-4724,212,10084,CD,0,D1_pwm175_grab1
3116,2074,1440,10026,CD,0,D1_pwm175_grab1
3120,548,-1306,11224,CD,0,D1_pwm175_grab1
3125,620,-1646,7136,CD,0,D1_pwm175_grab1
3130,198,1842,11822,CD,0,D1_pwm175_grab1
3135,-3090,-1488,9252,CD,0,D1_pwm175_grab1
3141,-1972,-736,10452,CD,0,D1_pwm175_grab1
3146,-248,726,11248,CD,0,D1_pwm175_grab1
3150,392,-1984,10526,CD,0,D1_pwm175_grab1
3155,2902,-1144,8730,CD,0,D1_pwm175_grab1
3166,2354,-184,9278,CD,0,D1_pwm175_grab1
3171,-2274,2676,11386,CD,0,D1_pwm175_grab1
3180,706,1768,14836,CD,0,D1_pwm175_grab1
3185,650,-4112,7162,CD,0,D1_pwm175_grab1
3190,-8484,-36,14120,CD,0,D1_pwm175_grab1
3196,2156,-298,8894,CD,0,D1_pwm175_grab1
3200,-1544,1694,12146,CD,0,D1_pwm175_grab1
3205,-940,-2388,13090,CD,0,D1_pwm175_grab1
3215,2422,1270,9308,CD,0,D1_pwm175_grab1
3225,1068,-198,9002,CD,0,D1_pwm175_grab1
3231,-1740,1912,11696,CD,0,D1_pwm175_grab1
3236,1662,-2592,11414,CD,0,D1_pwm175_grab1
3241,3902,-1548,7606,CD,0,D1_pwm175_grab1
3246,1392,678,10472,CD,0,D1_pwm175_grab1
3255,-452,2370,11356,CD,0,D1_pwm175_grab1
3260,-880,394,10714,CD,0,D1_pwm175_grab1
3276,1300,910,11082,CD,0,D1_pwm175_grab1
3286,-1554,2144,11276,CD,0,D1_pwm175_grab1
3291,-248,-768,9402,CD,0,D1_pwm175_grab1
3296,-4222,-22,11442,CD,0,D1_pwm175_grab1
3306,1894,1050,11224,CD,0,D1_pwm175_grab1
3317,-2626,1814,11372,CD,0,D1_pwm175_grab1
3322,-300,-760,9296,CD,0,D1_pwm175_grab1
3328,-4748,218,10718,CD,0,D1_pwm175_grab1
3332,1664,1508,9888,CD,0,D1_pwm175_grab1
3336,340,-1264,11502,CD,0,D1_pwm175_grab1
3342,6064,1358,9858,CD,0,D1_pwm175_grab1
3347,3690,3012,12640,CD,0,D1_pwm175_grab1
3351,-2352,-1344,9312,CD,0,D1_pwm175_grab1
