tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3008,1192,1760,12620,CD,0,D1_pwm150_grab1
3013,688,258,10116,CD,0,D1_pwm150_grab1
3022,-206,180,9540,CD,0,D1_pwm150_grab1
3027,-644,492,11394,CD,0,D1_pwm150_grab1
3032,3352,52,10828,CD,0,D1_pwm150_grab1
3037,676,-240,10430,CD,0,D1_pwm150_grab1
3043,706,542,9542,CD,0,D1_pwm150_grab1
3048,-2774,-1434,10668,CD,0,D1_pwm150_grab1
3052,586,-562,10380,CD,0,D1_pwm150_grab1
3057,242,690,10676,CD,0,D1_pwm150_grab1
3063,3558,132,10784,CD,0,D1_pwm150_grab1
3073,-284,-1472,10998,CD,0,D1_pwm150_grab1
3077,-450,-698,11074,CD,0,D1_pwm150_grab1
3083,2524,386,10630,CD,0,D1_pwm150_grab1
3088,1258,-658,9362,CD,0,D1_pwm150_grab1
3093,190,974,10918,CD,0,D1_pwm150_grab1
3098,-2634,-2912,7638,CD,0,D1_pwm150_grab1
3103,-376,-1624,10832,CD,0,D1_pwm150_grab1
3107,-130,-776,9672,CD,0,D1_pwm150_grab1
3112,2824,2026,12116,CD,0,D1_pwm150_grab1
3117,496,-1254,9690,CD,0,D1_pwm150_grab1
3123,460,-120,9956,CD,0,D1_pwm150_grab1
3127,-2770,-1240,9126,CD,0,D1_pwm150_grab1
3132,1072,266,11016,CD,0,D1_pwm150_grab1
3137,384,-1096,9378,CD,0,D1_pwm150_grab1
3142,-1022,2028,12056,CD,0,D1_pwm150_grab1
3147,-662,-36,9690,CD,0,D1_pwm150_grab1
3153,438,-708,10342,CD,0,D1_pwm150_grab1
3158,-2840,-1100,9116,CD,0,D1_pwm150_grab1
3164,1008,212,10934,CD,0,D1_pwm150_grab1
3168,448,-996,9152,CD,0,D1_pwm150_grab1
3173,-820,2170,12082,CD,0,D1_pwm150_grab1
3178,-618,-44,9652,CD,0,D1_pwm150_grab1
3183,416,-712,10356,CD,0,D1_pwm150_grab1
3188,2828,-832,8630,CD,0,D1_pwm150_grab1
3194,1390,1880,12278,CD,0,D1_pwm150_grab1
3200,322,-998,9072,CD,0,D1_pwm150_grab1
3209,-366,210,9194,CD,0,D1_pwm150_grab1
3214,-612,268,11232,CD,0,D1_pwm150_grab1
3223,574,288,11106,CD,0,D1_pwm150_grab1
3228,720,468,9756,CD,0,D1_pwm150_grab1
3238,-270,198,9170,CD,0,D1_pwm150_grab1
3244,54,642,10748,CD,0,D1_pwm150_grab1
3253,164,-2626,7588,CD,0,D1_pwm150_grab1
3259,-228,-818,10078,CD,0,D1_pwm150_grab1
3263,-694,-768,11088,CD,0,D1_pwm150_grab1
3269,2320,238,10620,CD,0,D1_pwm150_grab1
3273,1158,-444,9368,CD,0,D1_pwm150_grab1
3283,100,-2600,7730,CD,0,D1_pwm150_grab1
3289,-462,-1764,10672,CD,0,D1_pwm150_grab1
3294,-196,-726,10050,CD,0,D1_pwm150_grab1
3299,3140,1700,11822,CD,0,D1_pwm150_grab1
3303,614,-1218,9656,CD,0,D1_pwm150_grab1
3308,388,40,10152,CD,0,D1_pwm150_grab1
3314,-3024,-1150,9370,CD,0,D1_pwm150_grab1
3318,-428,-1714,10670,CD,0,D1_pwm150_grab1
3324,-182,-544,10134,CD,0,D1_pwm150_grab1
3329,-644,2248,12202,CD,0,D1_pwm150_grab1
3333,-574,-126,9778,CD,0,D1_pwm150_grab1
3338,560,-812,10304,CD,0,D1_pwm150_grab1
3343,2374,-904,8500,CD,0,D1_pwm150_grab1
3348,1442,1888,12380,CD,0,D1_pwm150_grab1
3353,850,-106,10088,CD,0,D1_pwm150_grab1
3358,-726,2134,12104,CD,0,D1_pwm150_grab1
3364,-590,-36,9730,CD,0,D1_pwm150_grab1
3368,544,-738,10374,CD,0,D1_pwm150_grab1
3378,618,602,11144,CD,0,D1_pwm150_grab1
3383,908,552,9800,CD,0,D1_pwm150_grab1
3393,370,-548,10180,CD,0,D1_pwm150_grab1
3399,-608,168,11170,CD,0,D1_pwm150_grab1
3409,726,566,11038,CD,0,D1_pwm150_grab1
3414,954,498,9552,CD,0,D1_pwm150_grab1
3425,418,-538,10238,CD,0,D1_pwm150_grab1
3430,64,688,10626,CD,0,D1_pwm150_grab1
3439,898,464,10968,CD,0,D1_pwm150_grab1
3444,788,628,9478,CD,0,D1_pwm150_grab1
3454,314,-520,10226,CD,0,D1_pwm150_grab1
3459,1154,-418,9392,CD,0,D1_pwm150_grab1
3465,298,1078,10910,CD,0,D1_pwm150_grab1
3474,-464,-1680,10958,CD,0,D1_pwm150_grab1
3480,-862,-866,11256,CD,0,D1_pwm150_grab1
3485,2228,260,10574,CD,0,D1_pwm150_grab1
3489,1138,-486,9474,CD,0,D1_pwm150_grab1
3494,162,1138,10870,CD,0,D1_pwm150_grab1
3499,-2792,-1144,9374,CD,0,D1_pwm150_grab1
3505,1122,42,10962,CD,0,D1_pwm150_grab1
3510,306,-1028,9270,CD,0,D1_pwm150_grab1
3514,-942,1964,12060,CD,0,D1_pwm150_grab1
3520,-676,-174,9594,CD,0,D1_pwm150_grab1
3524,568,216,9918,CD,0,D1_pwm150_grab1
3529,-2646,-1010,9584,CD,0,D1_pwm150_grab1
3535,1132,134,10856,CD,0,D1_pwm150_grab1
3540,274,-926,9254,CD,0,D1_pwm150_grab1
3550,-326,20,9374,CD,0,D1_pwm150_grab1
3554,-570,150,11184,CD,0,D1_pwm150_grab1
3564,1420,1658,12318,CD,0,D1_pwm150_grab1
3569,736,98,10224,CD,0,D1_pwm150_grab1
3579,-204,90,9374,CD,0,D1_pwm150_grab1
3585,256,576,10314,CD,0,D1_pwm150_grab1
3595,-116,-2678,6908,CD,0,D1_pwm150_grab1
3599,-348,-964,10486,CD,0,D1_pwm150_grab1
3610,562,-376,10582,CD,0,D1_pwm150_grab1
3614,260,504,10120,CD,0,D1_pwm150_grab1
3625,-234,-2720,7072,CD,0,D1_pwm150_grab1
3629,-224,-1466,10708,CD,0,D1_pwm150_grab1
3634,26,-962,9238,CD,0,D1_pwm150_grab1
3640,2668,1782,11990,CD,0,D1_pwm150_grab1
3645,1276,-542,9508,CD,0,D1_pwm150_grab1
3649,406,1114,10560,CD,0,D1_pwm150_grab1
3659,-200,-1480,10680,CD,0,D1_pwm150_grab1
3664,-136,-992,9262,CD,0,D1_pwm150_grab1
3670,2564,1794,12090,CD,0,D1_pwm150_grab1
3676,212,-1050,9888,CD,0,D1_pwm150_grab1
3680,464,-200,9882,CD,0,D1_pwm150_grab1
3690,-152,-1434,10730,CD,0,D1_pwm150_grab1
3696,-174,-922,9002,CD,0,D1_pwm150_grab1
