tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3000,24914,868,2620,CN,0,N_pwm175_grab1
3005,9968,2992,15572,CN,0,N_pwm175_grab1
3014,2924,-2668,5288,CN,0,N_pwm175_grab1
3019,-7502,-1394,10464,CN,0,N_pwm175_grab1
3024,1118,-888,10230,CN,0,N_pwm175_grab1
3031,408,-3154,4914,CN,0,N_pwm175_grab1
3035,-7638,968,11646,CN,0,N_pwm175_grab1
3041,2424,4462,14910,CN,0,N_pwm175_grab1
3045,5736,-1914,4340,CN,0,N_pwm175_grab1
3051,-5518,1256,11624,CN,0,N_pwm175_grab1
3055,-6588,-3680,8342,CN,0,N_pwm175_grab1
3061,-10104,-6622,7894,CN,0,N_pwm175_grab1
3065,-16482,-2538,12426,CN,0,N_pwm175_grab1
3072,-2834,-4176,7798,CN,0,N_pwm175_grab1
3076,7840,-1486,3482,CN,0,N_pwm175_grab1
3080,-2730,2038,12822,CN,0,N_pwm175_grab1
3085,-506,-318,10446,CN,0,N_pwm175_grab1
3090,6180,-2350,3346,CN,0,N_pwm175_grab1
3095,-16200,-2056,12948,CN,0,N_pwm175_grab1
3101,-1934,-3536,8280,CN,0,N_pwm175_grab1
3105,-8990,-6874,9182,CN,0,N_pwm175_grab1
3111,-14090,-11214,9602,CN,0,N_pwm175_grab1
3116,-544,530,11126,CN,0,N_pwm175_grab1
3121,8346,-1972,2640,CN,0,N_pwm175_grab1
3125,238,1460,13700,CN,0,N_pwm175_grab1
3131,-334,6850,15186,CN,0,N_pwm175_grab1
3135,-7888,-6454,8790,CN,0,N_pwm175_grab1
3141,-13828,-9888,10354,CN,0,N_pwm175_grab1
3145,-4854,-3474,7838,CN,0,N_pwm175_grab1
3151,-7794,-5988,8302,CN,0,N_pwm175_grab1
3155,-14792,-726,14504,CN,0,N_pwm175_grab1
3161,-966,7864,15466,CN,0,N_pwm175_grab1
3165,15382,280,862,CN,0,N_pwm175_grab1
3170,5896,5162,16186,CN,0,N_pwm175_grab1
3175,-3850,-3846,7720,CN,0,N_pwm175_grab1
3180,-7064,-5740,7978,CN,0,N_pwm175_grab1
3185,-14230,-224,14798,CN,0,N_pwm175_grab1
3190,1388,-2234,9540,CN,0,N_pwm175_grab1
3196,-6066,-5860,8618,CN,0,N_pwm175_grab1
3200,7710,5558,16192,CN,0,N_pwm175_grab1
3205,-514,2622,13156,CN,0,N_pwm175_grab1
3210,15616,-672,270,CN,0,N_pwm175_grab1
3215,-13626,-8,15000,CN,0,N_pwm175_grab1
3220,2772,-1902,10288,CN,0,N_pwm175_grab1
3225,-4978,-5286,7848,CN,0,N_pwm175_grab1
3231,-11698,-6634,11800,CN,0,N_pwm175_grab1
3235,-1180,-3778,8598,CN,0,N_pwm175_grab1
3240,-5518,-5052,7360,CN,0,N_pwm175_grab1
3246,8740,1716,15194,CN,0,N_pwm175_grab1
3255,-4014,-4802,7488,CN,0,N_pwm175_grab1
3260,-11140,-5908,11858,CN,0,N_pwm175_grab1
3265,18,-3446,9032,CN,0,N_pwm175_grab1
3270,-4898,-4606,6632,CN,0,N_pwm175_grab1
3275,-11824,276,14704,CN,0,N_pwm175_grab1
3281,4718,-904,11522,CN,0,N_pwm175_grab1
3287,-3242,-4438,7232,CN,0,N_pwm175_grab1
3291,-10420,-5056,11546,CN,0,N_pwm175_grab1
3296,-8284,-2448,10788,CN,0,N_pwm175_grab1
3302,-8296,-7080,6832,CN,0,N_pwm175_grab1
3306,-16598,-3394,12040,CN,0,N_pwm175_grab1
3311,-4860,-5294,7784,CN,0,N_pwm175_grab1
3316,-10292,-7740,8004,CN,0,N_pwm175_grab1
3321,-16346,-13326,5830,CN,0,N_pwm175_grab1
3326,-8358,-2958,10290,CN,0,N_pwm175_grab1
3331,-3192,-3978,6010,CN,0,N_pwm175_grab1
3336,-17120,-3750,11390,CN,0,N_pwm175_grab1
3342,-5246,-5262,7868,CN,0,N_pwm175_grab1
3347,-10754,-7508,8238,CN,0,N_pwm175_grab1
3357,-8074,-2868,10032,CN,0,N_pwm175_grab1
3361,-9572,-6838,7054,CN,0,N_pwm175_grab1
3366,-17192,-3550,11376,CN,0,N_pwm175_grab1
3371,4828,1744,13348,CN,0,N_pwm175_grab1
3376,-11008,-7520,8358,CN,0,N_pwm175_grab1
3386,-7624,-3382,9634,CN,0,N_pwm175_grab1
3392,-10172,-6606,7248,CN,0,N_pwm175_grab1
3396,-17154,-3226,11662,CN,0,N_pwm175_grab1
3401,-4434,-5120,7658,CN,0,N_pwm175_grab1
3407,-11106,-7568,8582,CN,0,N_pwm175_grab1
3411,-16130,-13198,6500,CN,0,N_pwm175_grab1
3416,1866,-1300,9928,CN,0,N_pwm175_grab1
3421,-10252,-6742,7236,CN,0,N_pwm175_grab1
3426,-17402,-3204,11526,CN,0,N_pwm175_grab1
3431,-4086,-4944,7770,CN,0,N_pwm175_grab1
3436,-11076,-7382,8800,CN,0,N_pwm175_grab1
3441,-15648,-13482,6968,CN,0,N_pwm175_grab1
3447,-7252,-3622,8724,CN,0,N_pwm175_grab1
3451,-10248,-6684,7326,CN,0,N_pwm175_grab1
3456,-7302,1582,11696,CN,0,N_pwm175_grab1
3462,-3990,-4562,7530,CN,0,N_pwm175_grab1
3466,-10612,-7334,8762,CN,0,N_pwm175_grab1
3471,-15640,-12854,7558,CN,0,N_pwm175_grab1
3477,-6738,-3952,8328,CN,0,N_pwm175_grab1
3481,-10256,-6586,7746,CN,0,N_pwm175_grab1
3487,-16494,-3324,12096,CN,0,N_pwm175_grab1
3492,-3494,-4360,7516,CN,0,N_pwm175_grab1
3496,-10094,-7160,8926,CN,0,N_pwm175_grab1
3501,-15260,-12444,8068,CN,0,N_pwm175_grab1
3507,-6520,-3908,7974,CN,0,N_pwm175_grab1
3511,-9782,-6582,7740,CN,0,N_pwm175_grab1
3517,-16398,-2674,12496,CN,0,N_pwm175_grab1
3521,-2472,-3948,7984,CN,0,N_pwm175_grab1
3526,-9568,-7162,9048,CN,0,N_pwm175_grab1
3531,-14684,-10818,9370,CN,0,N_pwm175_grab1
3537,-5818,-3838,7392,CN,0,N_pwm175_grab1
3547,-7808,-8510,11592,CN,0,N_pwm175_grab1
3552,-9498,-3144,8760,CN,0,N_pwm175_grab1
3558,-3876,-6914,3800,CN,0,N_pwm175_grab1
3562,-12006,-7464,8732,CN,0,N_pwm175_grab1
3567,-10056,-68,10710,CN,0,N_pwm175_grab1
3573,-2582,-6664,2616,CN,0,N_pwm175_grab1
3577,-9698,-7176,11884,CN,0,N_pwm175_grab1
3584,-850,2094,16474,CN,0,N_pwm175_grab1
3588,-5148,-7236,4644,CN,0,N_pwm175_grab1
3592,-12552,-9976,8342,CN,0,N_pwm175_grab1
3598,-9504,-862,10576,CN,0,N_pwm175_grab1
