tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3004,-1572,424,8484,CD,0,D1_pwm200_grab1
3014,-4292,1652,14768,CD,0,D1_pwm200_grab1
3020,-1156,-4064,4604,CD,0,D1_pwm200_grab1
3030,1768,1228,13740,CD,0,D1_pwm200_grab1
3035,-2120,68,11172,CD,0,D1_pwm200_grab1
3041,-5828,-1244,13488,CD,0,D1_pwm200_grab1
3050,1584,396,14592,CD,0,D1_pwm200_grab1
3061,2932,-772,8324,CD,0,D1_pwm200_grab1
3065,-2072,-72,10496,CD,0,D1_pwm200_grab1
3070,-940,-2136,10592,CD,0,D1_pwm200_grab1
3081,-2840,3248,14728,CD,0,D1_pwm200_grab1
3086,524,-2668,5624,CD,0,D1_pwm200_grab1
3090,-5900,-4908,7960,CD,0,D1_pwm200_grab1
3096,2212,1688,15624,CD,0,D1_pwm200_grab1
3100,2544,132,13756,CD,0,D1_pwm200_grab1
3105,-4988,120,12572,CD,0,D1_pwm200_grab1
3110,-2004,-6576,8576,CD,0,D1_pwm200_grab1
3116,3412,-1052,7068,CD,0,D1_pwm200_grab1
3120,1360,3052,10644,CD,0,D1_pwm200_grab1
3126,3668,-424,13224,CD,0,D1_pwm200_grab1
3130,-752,-1744,9548,CD,0,D1_pwm200_grab1
3136,1896,2712,9464,CD,0,D1_pwm200_grab1
3145,-1476,4592,13924,CD,0,D1_pwm200_grab1
3150,860,-2236,3256,CD,0,D1_pwm200_grab1
3155,-6516,-5424,3956,CD,0,D1_pwm200_grab1
3161,-824,2704,9848,CD,0,D1_pwm200_grab1
3165,-1088,1336,8464,CD,0,D1_pwm200_grab1
3171,3548,672,13124,CD,0,D1_pwm200_grab1
3175,-1776,840,12320,CD,0,D1_pwm200_grab1
3181,3080,-1412,6036,CD,0,D1_pwm200_grab1
3185,3000,1628,13584,CD,0,D1_pwm200_grab1
3190,-832,872,12468,CD,0,D1_pwm200_grab1
3196,1104,-2804,6396,CD,0,D1_pwm200_grab1
3200,-3028,692,10172,CD,0,D1_pwm200_grab1
3205,-4840,48,8096,CD,0,D1_pwm200_grab1
3211,2580,-4864,6956,CD,0,D1_pwm200_grab1
3216,808,-640,11260,CD,0,D1_pwm200_grab1
3220,484,-2144,6296,CD,0,D1_pwm200_grab1
3225,1200,1704,7944,CD,0,D1_pwm200_grab1
3231,-2644,368,6012,CD,0,D1_pwm200_grab1
3235,200,-1228,10468,CD,0,D1_pwm200_grab1
3240,-3580,-756,9324,CD,0,D1_pwm200_grab1
3246,-3108,2152,12816,CD,0,D1_pwm200_grab1
3251,-2144,-3716,10380,CD,0,D1_pwm200_grab1
3261,3092,36,9732,CD,0,D1_pwm200_grab1
3266,-2540,-636,8216,CD,0,D1_pwm200_grab1
3270,-4536,-1388,9888,CD,0,D1_pwm200_grab1
3281,2836,-372,13584,CD,0,D1_pwm200_grab1
3292,384,1104,7752,CD,0,D1_pwm200_grab1
3297,-3600,-1468,8988,CD,0,D1_pwm200_grab1
3301,-2280,-1396,10564,CD,0,D1_pwm200_grab1
3307,976,-512,8664,CD,0,D1_pwm200_grab1
3312,-1912,-196,13392,CD,0,D1_pwm200_grab1
3316,-516,-2068,13960,CD,0,D1_pwm200_grab1
3322,-9048,2820,11708,CD,0,D1_pwm200_grab1
3328,3892,-1088,9372,CD,0,D1_pwm200_grab1
3332,1028,300,12076,CD,0,D1_pwm200_grab1
3336,-6652,-3244,13556,CD,0,D1_pwm200_grab1
3342,-1176,-6100,7648,CD,0,D1_pwm200_grab1
3346,5932,336,13380,CD,0,D1_pwm200_grab1
3351,7860,88,13688,CD,0,D1_pwm200_grab1
3356,5168,-1044,9188,CD,0,D1_pwm200_grab1
3361,-2232,-36,10088,CD,0,D1_pwm200_grab1
