tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3005,-878,-2576,9822,CD,0,D2_pwm175_grab1
3014,-844,-432,9966,CD,0,D2_pwm175_grab1
3020,2060,1112,10132,CD,0,D2_pwm175_grab1
3024,-2472,-1086,10346,CD,0,D2_pwm175_grab1
3031,-598,278,11496,CD,0,D2_pwm175_grab1
3035,-5642,-802,10074,CD,0,D2_pwm175_grab1
3040,-1184,-2534,10182,CD,0,D2_pwm175_grab1
3045,6132,-950,10208,CD,0,D2_pwm175_grab1
3051,-982,-100,10280,CD,0,D2_pwm175_grab1
3055,-4198,-2508,8768,CD,0,D2_pwm175_grab1
3060,-2300,-832,10590,CD,0,D2_pwm175_grab1
3066,-1056,228,11094,CD,0,D2_pwm175_grab1
3072,-5596,-780,10018,CD,0,D2_pwm175_grab1
3076,-2526,548,12356,CD,0,D2_pwm175_grab1
3080,3596,-1096,9100,CD,0,D2_pwm175_grab1
3085,-6,-84,10054,CD,0,D2_pwm175_grab1
3090,-5082,-3244,11380,CD,0,D2_pwm175_grab1
3095,1282,-106,11182,CD,0,D2_pwm175_grab1
3100,-1390,350,10888,CD,0,D2_pwm175_grab1
3105,-1960,-912,9380,CD,0,D2_pwm175_grab1
3110,-1492,806,12192,CD,0,D2_pwm175_grab1
3116,122,1326,10822,CD,0,D2_pwm175_grab1
3120,3078,-2094,8430,CD,0,D2_pwm175_grab1
3125,6828,1994,11336,CD,0,D2_pwm175_grab1
3130,-392,1022,10268,CD,0,D2_pwm175_grab1
3135,-3018,-792,8452,CD,0,D2_pwm175_grab1
3141,290,-846,9708,CD,0,D2_pwm175_grab1
3145,6626,1158,9080,CD,0,D2_pwm175_grab1
3151,-208,1300,11070,CD,0,D2_pwm175_grab1
3155,2302,-2036,8476,CD,0,D2_pwm175_grab1
3160,4656,-4,10440,CD,0,D2_pwm175_grab1
3166,2358,1696,10988,CD,0,D2_pwm175_grab1
3171,-2788,-1728,9442,CD,0,D2_pwm175_grab1
3175,976,1008,11226,CD,0,D2_pwm175_grab1
3180,3156,784,9696,CD,0,D2_pwm175_grab1
3185,1342,-1154,8702,CD,0,D2_pwm175_grab1
3191,110,-506,11606,CD,0,D2_pwm175_grab1
3196,3946,-494,10714,CD,0,D2_pwm175_grab1
3201,-1550,-1418,8192,CD,0,D2_pwm175_grab1
3205,378,378,10994,CD,0,D2_pwm175_grab1
3210,-1318,260,10974,CD,0,D2_pwm175_grab1
3215,-3316,-954,10464,CD,0,D2_pwm175_grab1
3220,-638,-2634,9582,CD,0,D2_pwm175_grab1
3226,6100,-550,10292,CD,0,D2_pwm175_grab1
3230,-920,-612,9692,CD,0,D2_pwm175_grab1
3235,-3060,-1876,8276,CD,0,D2_pwm175_grab1
